^Control Number^|^Email From^|^Sample Indicator^|^Date Sent^|^Date Received^|^Embedded Data Info^
^10k_DOCS_WITHOUT_NATIVES_0000000023^|^FGB15E15DOTKOATYQJGZ^|^Yes^|^2036-03-20^|^2030-04-30^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000024^|^KXUBGNK8RYIBX67G3OX7^|^Yes^|^2039-12-08^|^2031-04-05^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000025^|^Z8IQ25BE304IZ7VZHS94^|^Yes^|^2022-04-04^|^2044-02-11^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000026^|^0HQ232FZ52CMDPXQZBPM^|^Yes^|^2025-03-18^|^2047-07-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000027^|^12FQE2HSCDIO266UXCX2^|^Yes^|^2021-03-19^|^2022-01-13^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000028^|^9E9FKG4Z41BP0WOAE4UY^|^No^|^2039-10-15^|^2032-03-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000029^|^CWQIRAYKNHYTKFV550MS^|^No^|^2022-09-22^|^2042-10-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000030^|^3GBMXW71QYARRVMWT89I^|^Yes^|^2044-01-17^|^2026-08-09^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000031^|^QZ08R32J4HOXSH45YMH8^|^No^|^2027-02-15^|^2025-03-11^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000032^|^47WDLZ0XVLWIFI481PAR^|^No^|^2046-07-10^|^2040-07-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000033^|^LD0L3NU8NUZCRW83HYFJ^|^No^|^2032-10-10^|^2042-04-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000034^|^0WFA0I1DDXKFUO82BFST^|^No^|^2043-07-10^|^2036-03-14^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000035^|^G1ZE547G0A1B5IBA38GB^|^No^|^2048-09-10^|^2031-06-10^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000036^|^7OOT91M06SKM33XAKXBI^|^No^|^2020-02-11^|^2036-01-28^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000037^|^DMV6RN4209KQFZ4ZFL00^|^Yes^|^2024-10-07^|^2043-09-13^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000038^|^EHP8POYYVZR7DR73XH3R^|^No^|^2023-11-04^|^2044-04-28^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000039^|^6VOND30RVFGPLMNRX9T0^|^Yes^|^2035-05-20^|^2019-09-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000040^|^R1VAJH2DGZT6CJJ39SVP^|^Yes^|^2042-11-22^|^2019-09-02^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000041^|^5N11H0TLFKH2JGUJD3LN^|^Yes^|^2046-12-30^|^2022-01-07^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000042^|^VZ28D7S226XQ4C006UQR^|^Yes^|^2040-11-01^|^2043-12-11^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000043^|^HIES00TI90D0X76ZM0YI^|^Yes^|^2031-08-05^|^2031-11-14^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000044^|^3WZSJYD1YF2HEH2UXK3Z^|^Yes^|^2025-04-04^|^2041-08-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000045^|^GYBJ5ODU4VUUDI4LD9HV^|^No^|^2033-11-28^|^2025-02-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000046^|^ZS7XO6GQZ1UFYNWZ6VNV^|^Yes^|^2036-06-04^|^2038-12-13^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000047^|^T8EKHEOMZL7F94MWZ2RL^|^No^|^2027-01-24^|^2027-07-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000048^|^OFFGCASY527LD4W9D1Q1^|^Yes^|^2040-03-16^|^2033-06-18^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000049^|^Q70PB331ULQPF5ZB6LRU^|^Yes^|^2020-05-29^|^2041-12-10^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000050^|^1JQNNSDTT39EJ7VIWFCL^|^No^|^2039-06-12^|^2041-09-17^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000051^|^0LXCM1NXMZEKLC2UN79E^|^Yes^|^2027-10-12^|^2041-02-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000052^|^99EL28HB36IB8ZLHCKHL^|^Yes^|^2022-05-21^|^2036-03-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000053^|^OA5DMV4ERDD8S16GVE59^|^Yes^|^2036-07-23^|^2023-02-04^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000054^|^AI3CCQJYQO4ML85KIFN0^|^Yes^|^2026-11-30^|^2024-11-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000055^|^1DZYD02K9W8ZJK8ESX0L^|^Yes^|^2027-07-17^|^2032-07-28^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000056^|^WT5EK1NJ8EOIHM3PYVSK^|^Yes^|^2047-02-26^|^2040-12-07^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000057^|^HFEI8N23JXRD18HDZTFJ^|^No^|^2020-07-15^|^2046-12-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000058^|^WFH1LSO7PP33DU901YU5^|^Yes^|^2026-05-12^|^2043-01-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000059^|^DKGZHOZK5L4MN1AYFF84^|^Yes^|^2042-02-10^|^2038-01-19^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000060^|^ZAJHS52VL3CP5C7LVB1D^|^Yes^|^2022-08-19^|^2029-01-15^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000061^|^8EP6C7YNKMEWZZKA64XU^|^No^|^2026-12-31^|^2027-02-28^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000062^|^SKCFI0QHTWOLEHLF4NU3^|^No^|^2040-02-27^|^2032-07-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000063^|^271IZN2DF0AH6H0CP0R7^|^Yes^|^2049-02-15^|^2038-11-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000064^|^XT7J4KLFV023K8455SYI^|^Yes^|^2020-11-29^|^2045-11-02^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000065^|^78QFEE7ZOJ67ADOXMW9R^|^Yes^|^2033-01-22^|^2020-05-28^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000066^|^UGBACTE6RIYVAS3L5H9P^|^Yes^|^2037-01-18^|^2040-07-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000067^|^VBNXGFWU87MORRM9J4LK^|^Yes^|^2024-01-19^|^2030-11-22^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000068^|^19J8SGXIY5Z2031IS7N2^|^Yes^|^2031-12-14^|^2046-10-07^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000069^|^7YJGPD9QA3PMLJ2DRIJU^|^Yes^|^2048-10-20^|^2032-10-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000070^|^E6DMPEK721H0MJDHMQID^|^No^|^2035-01-03^|^2034-03-06^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000071^|^Q3FUD7V1Y30PILAKE6LZ^|^Yes^|^2036-12-26^|^2021-07-29^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000072^|^2YD5IN6WJ5K2YTHPY49F^|^No^|^2044-07-07^|^2031-01-21^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000073^|^LNQD0Z81X30TK90IXO5Y^|^No^|^2041-10-03^|^2025-08-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000074^|^H4G2QSS6PITE0EORSMWQ^|^No^|^2044-08-26^|^2028-12-10^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000075^|^XK62RUUN89VP4PKR6P6C^|^No^|^2032-04-11^|^2032-06-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000076^|^ZRXPRKAD09M6GS09MKA9^|^Yes^|^2042-03-22^|^2026-09-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000077^|^BXUR0RJ7Q27T7XI8CBQN^|^No^|^2038-06-10^|^2033-01-22^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000078^|^DKIR7QQH1U3EO184CLJD^|^No^|^2030-09-14^|^2029-02-22^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000079^|^ZPJ6NLK6KKSOPG4ER95A^|^Yes^|^2020-02-07^|^2030-02-14^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000080^|^IBRNUN4WF3XH4L881BMR^|^Yes^|^2043-01-29^|^2043-06-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000081^|^EZYCH7JEYYH82NQYNYC6^|^No^|^2026-06-07^|^2033-06-09^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000082^|^UQVLCUONT6SD90IEUNTS^|^Yes^|^2028-12-12^|^2027-10-21^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000083^|^SRS58YAOM3AO515SMUF9^|^No^|^2043-10-28^|^2040-12-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000084^|^4K6I5R30SELIDM2EVBFT^|^Yes^|^2020-03-07^|^2048-04-01^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000085^|^DAN00ZB16JNBO020TX5M^|^No^|^2022-04-03^|^2036-06-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000086^|^MD58U7ASZ901NJ0KZP73^|^No^|^2037-08-30^|^2020-03-31^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000087^|^4G7R2N12BSAAOOY4UZ50^|^Yes^|^2049-05-08^|^2047-03-29^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000088^|^R7DFGHO13MSALX3GGMAH^|^Yes^|^2042-05-23^|^2024-08-13^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000089^|^TOY7FBS603DT8J41Z3Y6^|^Yes^|^2048-01-24^|^2033-06-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000090^|^B5Z4HVSK80TN2X292Y01^|^Yes^|^2022-04-02^|^2029-10-29^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000091^|^S17WFA2BQ1O3AKIKXPKY^|^Yes^|^2043-12-18^|^2030-03-04^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000092^|^YU77DQBO00NDXAHXAGOE^|^No^|^2048-11-01^|^2038-11-23^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000093^|^QHJM4RAAWXORSMSFDJLC^|^No^|^2043-10-05^|^2037-12-09^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000094^|^JLASD2U6VJB1D5212JJE^|^Yes^|^2022-09-30^|^2034-01-15^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000095^|^WPMC6M67L411TL61IQ3F^|^Yes^|^2033-05-06^|^2022-07-09^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000096^|^70NYQXUG2RVSDGAU3G6G^|^Yes^|^2039-06-15^|^2025-12-15^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000097^|^CU7AVU1J3JWSTZ255639^|^Yes^|^2031-06-21^|^2020-07-02^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000098^|^WEVLVL9PGWW1207DFGH3^|^No^|^2045-06-22^|^2039-06-13^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000099^|^NS4WZDWB4LGNLI0FEQ53^|^Yes^|^2020-05-06^|^2027-05-12^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000100^|^J5BA05LAXNHV5ZE3O9XS^|^Yes^|^2022-02-18^|^2030-06-26^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000101^|^LKRPYZK2N50CVYHRPYII^|^No^|^2037-05-06^|^2023-08-02^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000102^|^TLEQ1ZAHOP8DIF44UE7M^|^No^|^2026-11-20^|^2031-07-26^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000103^|^7MOH8TTU889YQQPN88LU^|^No^|^2024-04-10^|^2048-02-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000104^|^4FUV70OLDMX0PRSJPLGI^|^No^|^2026-04-29^|^2043-05-26^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000105^|^DXNIHR2X9FGO7QE5ODL6^|^No^|^2038-01-27^|^2041-07-18^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000106^|^Q4LX4D939FU3ESQJHVY9^|^No^|^2023-01-16^|^2030-06-22^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000107^|^HAR4ONWDNITWICRKBUDJ^|^Yes^|^2035-12-11^|^2020-08-14^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000108^|^OB1V1VNHXI99KFT21ZOB^|^No^|^2023-03-25^|^2029-09-13^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000109^|^QK6OQQVB3DG7H5XVRLZT^|^Yes^|^2037-12-02^|^2046-06-28^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000110^|^1DO3OXW63IE9ABDHRUME^|^Yes^|^2033-11-27^|^2044-10-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000111^|^Z8URWBAENMQEM1SR5GAW^|^No^|^2024-12-03^|^2027-03-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000112^|^GZNBFJLOC1O8FMMGFNKK^|^Yes^|^2037-07-12^|^2039-05-04^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000113^|^4CB2PI214ZVJKL71G5V6^|^No^|^2032-05-11^|^2044-04-04^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000114^|^JCEEIIKA1EP6L8ZDXJ0K^|^No^|^2030-07-08^|^2035-05-17^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000115^|^5RQU7G5YLZU6AS17YBTM^|^No^|^2048-01-29^|^2040-06-02^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000116^|^UAZ31B51OP1Z0RJPBQMG^|^Yes^|^2031-08-19^|^2043-06-21^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000117^|^UET1MPZ2J2R6TTWRGIDL^|^Yes^|^2032-03-21^|^2023-04-25^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000118^|^1GAT26R3S891037MMZAW^|^Yes^|^2036-02-15^|^2034-12-13^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000119^|^5O4FW6M3CL7D8HLR69QZ^|^No^|^2041-03-03^|^2026-04-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000120^|^GR6IZU1MIG71WNZWQ3LY^|^Yes^|^2037-11-05^|^2031-01-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000121^|^MPASXSWU1QKJWENAEPMS^|^Yes^|^2027-09-21^|^2035-05-31^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000122^|^2J5CGDFNXPTT1X61OXM2^|^No^|^2044-02-11^|^2039-03-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000123^|^SC7ZTYCPYBLZ0G1MNNA3^|^No^|^2025-10-08^|^2044-10-13^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000124^|^58MMRJ3WMNC4BGC8V2B9^|^No^|^2027-01-07^|^2034-07-19^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000125^|^G142W0RNVOZYF9IOIFKL^|^No^|^2025-02-21^|^2047-08-17^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000126^|^LSG1566832QD66YKI1UN^|^No^|^2024-04-02^|^2042-12-03^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000127^|^MR6SST5TLG6HV8128AQU^|^Yes^|^2026-04-30^|^2040-11-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000128^|^NK99S2573LEXUQXWQKMG^|^No^|^2019-09-28^|^2046-11-23^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000129^|^NXNBIZ5YB01DNLNAELXC^|^Yes^|^2036-12-01^|^2023-12-26^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000130^|^MI6BZTHGYXK3O1FLCJ5L^|^No^|^2035-09-20^|^2030-09-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000131^|^FQA91VR3BERKDA5OIHVZ^|^Yes^|^2025-10-01^|^2026-06-15^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000132^|^SW3OV5XBWMVV8WH57AEU^|^No^|^2045-05-17^|^2032-06-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000133^|^IMDL7WLG82J5YYQFXRIG^|^No^|^2020-12-28^|^2032-02-21^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000134^|^5S3FWIAFANC2XYGVF9K0^|^Yes^|^2027-02-22^|^2038-10-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000135^|^0GW6KED57LLMESMTXQPN^|^Yes^|^2026-08-27^|^2041-07-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000136^|^RKC6DF0FH4R057PQIRH1^|^Yes^|^2034-09-01^|^2021-12-31^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000000137^|^PTQV2HQ6O6P4D9XGF6XR^|^No^|^2047-05-05^|^2046-07-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
